Date,Unemployment Rate,Feds Funds,Industrial Production,Leading Index,Housing Starts,Building Permits,Consumer Sentiment,Close
5/1/2014,6.3,0.09,102.2594,1.85,1007,1018,81.9,188.3
6/1/2014,6.1,0.1,102.5986,1.95,911,1010,82.5,192.9
7/1/2014,6.2,0.09,102.8163,1.92,1085,1076,81.8,197.0
8/1/2014,6.1,0.09,102.6562,1.74,984,1047,82.5,192.5
9/1/2014,5.9,0.09,102.9776,1.97,1023,1077,84.6,193.4
10/1/2014,5.7,0.09,102.9892,2.04,1074,1094,86.9,194.4
11/1/2014,5.8,0.09,103.6402,1.74,1001,1059,88.8,201.8
12/1/2014,5.6,0.12,103.6345,2.02,1073,1072,93.6,205.8
1/1/2015,5.7,0.11,102.8239,1.7,1085,1049,98.1,203.8
2/1/2015,5.5,0.11,102.1513,1.7,886,1127,95.4,201.9
3/1/2015,5.4,0.11,101.824,1.7,960,1072,93,212.0
4/1/2015,5.4,0.12,101.244,1.71,1190,1166,95.9,205.7
5/1/2015,5.6,0.12,100.783,1.89,1079,1272,90.7,210.7
6/1/2015,5.3,0.13,100.4781,1.68,1205,1379,96.1,211.6
7/1/2015,5.2,0.13,101.1052,1.84,1146,1140,93.1,207.5
8/1/2015,5.1,0.14,100.9442,1.76,1130,1165,91.9,209.8
9/1/2015,5,0.14,100.6507,1.78,1224,1144,87.2,191.8
10/1/2015,5,0.12,100.1871,1.59,1058,1160,90,192.1
11/1/2015,5.1,0.12,99.4382,1.55,1172,1244,91.3,210.4
12/1/2015,5,0.24,98.939,1.63,1146,1211,92.6,210.7
1/1/2016,4.8,0.34,99.4558,1.4,1092,1171,92,202.2
2/1/2016,4.9,0.38,98.9136,1.72,1225,1172,91.7,193.6
3/1/2016,5,0.36,98.1907,1.61,1111,1118,91,198.1
4/1/2016,5.1,0.37,98.4669,1.56,1163,1160,89,206.9
5/1/2016,4.8,0.37,98.2518,1.43,1148,1205,94.7,208.0
6/1/2016,4.9,0.38,98.7275,1.45,1203,1208,93.5,210.3
7/1/2016,4.8,0.39,98.836,1.5,1239,1198,90,209.9
8/1/2016,4.9,0.4,98.7554,1.54,1171,1201,89.8,216.9
9/1/2016,5,0.4,98.6596,1.36,1068,1303,91.2,217.4
10/1/2016,4.9,0.4,98.7322,1.27,1313,1254,87.2,215.8
11/1/2016,4.7,0.41,98.3452,1.7,1140,1230,93.8,211.0
12/1/2016,4.7,0.54,99.0314,1.62,1252,1248,98.2,219.6
1/1/2017,4.7,0.65,98.7987,1.73,1190,1296,98.5,223.6
2/1/2017,4.6,0.66,98.4322,1.58,1271,1237,96.3,227.6
3/1/2017,4.4,0.79,99.0663,1.73,1190,1273,96.9,239.8
4/1/2017,4.4,0.9,100.0082,1.59,1146,1239,97,235.3
5/1/2017,4.4,0.91,100.1286,1.42,1157,1205,97.1,238.7
6/1/2017,4.3,1.04,100.3233,1.52,1249,1353,95,243.4
7/1/2017,4.3,1.15,100.0947,1.43,1206,1254,93.4,242.2
8/1/2017,4.4,1.16,99.6642,1.39,1159,1336,96.8,247.3
9/1/2017,4.3,1.15,99.7686,1.2,1181,1277,95.1,247.8
10/1/2017,4.2,1.15,100.9981,1.59,1257,1360,100.7,252.3
11/1/2017,4.2,1.16,101.2597,1.45,1273,1295,98.5,257.5
